tx_type,response_time_us,retry_count
NewOrder,383,0
Payment,270,0
NewOrder,341,0
Payment,479,0
NewOrder,594,0
NewOrder,653,0
NewOrder,328,0
NewOrder,338,0
Payment,130,0
Payment,127,0
Payment,111,0
NewOrder,193,0
NewOrder,378,0
NewOrder,146,0
Payment,202,0
Payment,309,0
NewOrder,155,0
Payment,139,0
NewOrder,336,0
NewOrder,146,0
NewOrder,147,0
NewOrder,143,0
NewOrder,147,0
Payment,110,0
NewOrder,144,0
Payment,112,0
Payment,167,0
NewOrder,161,0
Payment,119,0
NewOrder,146,0
Payment,114,0
NewOrder,148,0
Payment,141,0
Payment,121,0
Payment,195,0
Payment,148,0
Payment,147,0
Payment,168,0
NewOrder,155,0
NewOrder,173,0
Payment,112,0
NewOrder,149,0
Payment,108,0
Payment,117,0
Payment,111,0
NewOrder,206,0
Payment,176,0
NewOrder,222,0
NewOrder,221,0
Payment,143,0
Payment,144,0
Payment,134,0
NewOrder,168,0
NewOrder,175,0
Payment,167,0
Payment,144,0
NewOrder,179,0
NewOrder,168,0
NewOrder,169,0
NewOrder,157,0
NewOrder,168,0
Payment,114,0
Payment,104,0
Payment,109,0
NewOrder,133,0
Payment,110,0
NewOrder,134,0
Payment,106,0
NewOrder,134,0
Payment,107,0
NewOrder,134,0
Payment,101,0
NewOrder,137,0
Payment,103,0
NewOrder,133,0
NewOrder,141,0
NewOrder,133,0
NewOrder,201,0
Payment,102,0
Payment,100,0
NewOrder,285,0
Payment,107,0
NewOrder,134,0
Payment,110,0
Payment,113,0
Payment,243,0
NewOrder,234,0
NewOrder,566,0
Payment,297,0
Payment,249,0
Payment,130,0
NewOrder,141,0
NewOrder,178,0
Payment,110,0
NewOrder,140,0
Payment,113,0
NewOrder,139,0
Payment,102,0
Payment,108,0
NewOrder,136,0
NewOrder,135,0
Payment,106,0
Payment,103,0
NewOrder,133,0
NewOrder,146,0
Payment,106,0
Payment,103,0
Payment,106,0
NewOrder,148,0
Payment,105,0
NewOrder,131,0
Payment,106,0
Payment,101,0
Payment,101,0
Payment,101,0
Payment,110,0
Payment,108,0
NewOrder,134,0
Payment,104,0
NewOrder,148,0
NewOrder,143,0
Payment,105,0
NewOrder,138,0
NewOrder,138,0
NewOrder,137,0
NewOrder,143,0
Payment,103,0
Payment,104,0
Payment,102,0
Payment,105,0
Payment,103,0
NewOrder,134,0
Payment,106,0
NewOrder,141,0
NewOrder,141,0
Payment,104,0
Payment,101,0
Payment,104,0
NewOrder,137,0
NewOrder,140,0
Payment,106,0
NewOrder,136,0
NewOrder,146,0
NewOrder,140,0
NewOrder,155,0
NewOrder,140,0
Payment,103,0
Payment,110,0
Payment,106,0
NewOrder,136,0
NewOrder,135,0
NewOrder,151,0
Payment,109,0
Payment,102,0
NewOrder,143,0
NewOrder,140,0
Payment,103,0
Payment,112,0
Payment,101,0
Payment,102,0
Payment,111,0
