tx_type,response_time_us,retry_count
Payment,126,0
NewOrder,161,0
NewOrder,216,0
NewOrder,219,0
NewOrder,177,0
Payment,160,0
Payment,155,0
Payment,95,0
Payment,102,0
Payment,89,0
Payment,91,0
NewOrder,86,0
Payment,81,0
NewOrder,80,0
Payment,79,0
Payment,59,0
Payment,55,0
NewOrder,78,0
Payment,83,0
Payment,58,0
NewOrder,73,0
Payment,54,0
NewOrder,76,0
Payment,86,0
NewOrder,78,0
Payment,79,0
Payment,60,0
NewOrder,78,0
Payment,70,0
Payment,61,0
NewOrder,73,0
NewOrder,73,0
NewOrder,75,0
Payment,55,0
NewOrder,75,0
Payment,83,0
Payment,59,0
Payment,54,0
NewOrder,71,0
NewOrder,73,0
NewOrder,74,0
Payment,79,0
NewOrder,79,0
Payment,79,0
NewOrder,80,0
Payment,80,0
NewOrder,78,0
Payment,79,0
NewOrder,79,0
Payment,80,0
NewOrder,76,0
NewOrder,69,0
NewOrder,69,0
NewOrder,68,0
Payment,51,0
Payment,52,0
NewOrder,76,0
NewOrder,87,0
NewOrder,69,0
Payment,52,0
NewOrder,68,0
NewOrder,68,0
Payment,51,0
NewOrder,71,0
Payment,54,0
Payment,54,0
Payment,50,0
NewOrder,69,0
NewOrder,77,0
Payment,50,0
Payment,51,0
NewOrder,68,0
NewOrder,70,0
NewOrder,68,0
NewOrder,82,0
NewOrder,68,0
NewOrder,68,0
Payment,50,0
Payment,50,0
Payment,61,0
NewOrder,69,0
NewOrder,68,0
Payment,50,0
NewOrder,68,0
Payment,51,0
NewOrder,72,0
Payment,50,0
Payment,55,0
Payment,50,0
NewOrder,68,0
NewOrder,67,0
NewOrder,68,0
Payment,51,0
Payment,50,0
Payment,50,0
NewOrder,67,0
NewOrder,67,0
NewOrder,67,0
NewOrder,67,0
NewOrder,67,0
NewOrder,68,0
Payment,52,0
NewOrder,67,0
Payment,52,0
Payment,50,0
Payment,50,0
Payment,51,0
NewOrder,68,0
Payment,50,0
Payment,50,0
Payment,51,0
Payment,51,0
NewOrder,69,0
Payment,51,0
NewOrder,69,0
Payment,50,0
