protocol,threads,hotset_prob,hotset_size,throughput_tps,avg_rt_us,retry_pct,total_retries
occ,1,0.5,10,13425.5,73.5,0,0
occ,2,0.5,10,9838.65,137.48,0.25,1
occ,4,0.5,10,7712.85,292.014,0.625,5
occ,8,0.5,10,7960.48,532.998,1.125,21
occ,16,0.5,10,9190.52,1009.93,2.34375,85
2pl,1,0.5,10,14644.5,67.315,0,0
2pl,2,0.5,10,7427.49,167.795,0,0
2pl,4,0.5,10,12321.9,209.549,0,0
2pl,8,0.5,10,5910.73,867.418,0,0
2pl,16,0.5,10,12058,757.205,0,0
occ,4,0.0,10,8823.69,256.946,0.5,4
occ,4,0.2,10,7518.16,258.946,0.625,5
occ,4,0.4,10,8510.73,267.111,0.5,4
occ,4,0.6,10,7165.63,312.702,0.625,5
occ,4,0.8,10,11298.6,215.093,0.375,3
occ,4,1.0,10,8091.43,281.858,0.625,5
2pl,4,0.0,10,9482.49,251.153,0,0
2pl,4,0.2,10,9173.58,246.935,0,0
2pl,4,0.4,10,8691.5,268.512,0,0
2pl,4,0.6,10,8455.68,280.141,0,0
2pl,4,0.8,10,11783.6,220.571,0,0
2pl,4,1.0,10,8415.03,258.7,0,0
